Zip Code,Total times 1k,num returns
91201,166369000,1190
91201,162559000,390
91202,953277000,10630
91202,43199000,3530
91202,80623000,2160
91202,89883000,1440
91202,92795000,1060
91202,227021000,1640
91202,419756000,800
91203,442190000,7220
91203,34633000,2740
91203,64918000,1730
91203,68937000,1110
91203,55144000,630
91203,107668000,800
91203,110890000,210
91204,315129000,7060
91204,40006000,3080
91204,72252000,1980
91204,60606000,980
91204,39663000,450
91204,62525000,480
91204,40077000,90
91205,717916000,16120
91205,94608000,7350
91205,154966000,4240
91205,121947000,1980
91205,95125000,1090
91205,162480000,1220
91205,88790000,240
91206,1136611000,15120
91206,65906000,5260
91206,122395000,3290
91206,129271000,2070
91206,119246000,1360
91206,302610000,2160
91206,397183000,980
91207,643783000,4890
91207,16259000,1330
91207,30788000,820
91207,40477000,630
91207,38822000,440
91207,126675000,880
91207,390762000,790
91208,970521000,7780
91208,23191000,1990
91208,44991000,1190
91208,56878000,890
91208,66375000,750
91208,254164000,1740
91208,524922000,1220
91210,33701000,180
91210,332000,30
91210,1924000,40
91210,2124000,20
91210,5548000,40
91210,23773000,50
91214,1380555000,14230
91214,46525000,3950
91214,93619000,2470
91214,106035000,1680
91214,123874000,1400
91214,453220000,3140
91214,557282000,1590
91301,1763878000,12530
91301,38397000,3420
91301,69292000,1810
91301,84858000,1320
91301,101593000,1130
91301,383680000,2630
91301,1086058000,2220
91302,4006959000,12050
91302,34245000,3170
91302,58339000,1540
91302,70901000,1100
91302,82508000,910
91302,317122000,2150
91302,3443844000,3180
91303,533942000,12440
91303,77247000,5650
91303,126255000,3510
91303,93301000,1510
91303,67856000,780
91303,113180000,850
91303,56103000,140
91304,1429447000,23020
91304,115719000,8810
91304,210840000,5770
91304,170913000,2750
91304,156321000,1780
91304,398597000,2840
91304,377057000,1070
91306,1055868000,21570
91306,117694000,8860
91306,204254000,5610
91306,166512000,2680
91306,149046000,1710
91306,318612000,2360
91306,99750000,350
91307,1219264000,11840
91307,40059000,3490
91307,70711000,1880
91307,88461000,1390
91307,101352000,1140
91307,380487000,2650
91307,538194000,1290
91311,1694366000,18560
91311,69955000,5600
91311,143497000,3860
91311,166998000,2650
91311,169291000,1930
91311,453502000,3220
91311,691123000,1300
91316,1863071000,13990
91316,51797000,4280
91316,102039000,2690
91316,116627000,1840
91316,109097000,1230
91316,311388000,2180
91316,1172123000,1770
91320,2382779000,21350
91320,70789000,5980
91320,129203000,3460
91320,140301000,2210
91320,179561000,2020
91320,688171000,4760
91320,1174754000,2920
91321,987493000,15570
91321,80178000,5950
91321,138183000,3760
91321,121652000,1950
91321,116073000,1320
91321,266812000,1920
91321,264595000,670
91324,945847000,13260
91324,64665000,5030
91324,107201000,2920
91324,105344000,1690
91324,98935000,1120
91324,256537000,1840
91324,313165000,660
91325,1091368000,15650
91325,75393000,5990
91325,129542000,3530
91325,119699000,1920
91325,106841000,1220
91325,296406000,2100
91325,363487000,890
91326,1853012000,16880
91326,53475000,4500
91326,101509000,2690
91326,124233000,1960
91326,139024000,1560
91326,556517000,3850
91326,878254000,2320
91331,1560468000,43820
91331,288127000,20400
91331,501576000,14030
91331,326509000,5350
91331,201775000,2340
91331,202857000,1600
91331,39624000,100
91335,1547738000,34400
91335,198101000,14760
91335,342031000,9440
91335,274722000,4440
91335,214554000,2450
91335,382253000,2870
91335,136077000,440
91340,575075000,15040
91340,94048000,6570
91340,172925000,4810
91340,117600000,1930
91340,84381000,980
91340,86282000,680
91340,19839000,70
91342,1979085000,41430
91342,220513000,16030
91342,425072000,11730
91342,356189000,5770
