"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
91040,1450,11305
91040,400,14353
,,
91042,"3,730","25,191"
91042,120,122
91042,430,695
91042,710,1891
91042,670,2836
91042,1440,11109
91042,360,8538
,,
91101,"3,130","47,976"
91101,60,211
91101,210,486
91101,410,1477
91101,560,3166
91101,1260,12419
91101,630,30217
,,
91103,"3,210","63,841"
91103,90,120
91103,330,541
91103,460,1386
91103,470,2281
91103,1010,8688
91103,850,50825
,,
91104,"5,380","61,207"
91104,120,220
91104,410,872
91104,670,2146
91104,840,3978
91104,2200,19640
91104,1140,34351
,,
91105,"3,550","128,539"
91105,70,258
91105,110,504
91105,220,873
91105,330,1822
91105,1150,11237
91105,1670,113845
,,
91106,"4,050","115,167"
91106,110,219
91106,280,645
91106,480,1584
91106,640,3558
91106,1390,13946
91106,1150,95215
,,
91107,"6,450","108,896"
91107,140,333
91107,340,667
91107,680,2290
91107,890,4881
91107,2450,22436
91107,1950,78289
,,
91108,"3,360","219,466"
91108,80,494
91108,110,520
91108,170,918
91108,240,1522
91108,900,8212
91108,1860,207800
,,
91201,"2,440","24,460"
91201,50,66
91201,260,589
91201,400,1188
91201,420,2011
91201,940,7921
91201,370,12685
,,
91202,"3,290","55,744"
91202,70,115
91202,270,777
91202,430,1364
91202,540,2584
91202,1220,10401
91202,760,40503
,,
91203,"1,660","17,469"
91203,50,44
91203,210,386
91203,340,1056
91203,310,1547
91203,560,4827
91203,190,9609
,,
91204,"1,130","9,230"
91204,40,50
91204,200,281
91204,250,780
91204,220,1167
91204,340,2810
91204,80,4142
,,
91205,"2,740","20,594"
91205,110,92
91205,450,635
91205,510,1432
91205,530,2585
91205,920,7653
91205,220,8197
,,
91206,"4,420","53,133"
91206,120,385
91206,380,676
91206,610,1879
91206,710,3467
91206,1660,14206
91206,940,32520
,,
91207,"2,010","44,833"
91207,50,111
91207,110,259
91207,170,573
91207,230,1302
91207,690,6042
91207,760,36546
,,
91208,"3,520","57,751"
91208,60,91
91208,190,403
91208,280,932
91208,400,2023
91208,1410,12247
91208,1180,42055
,,
91210,90,"3,292"
91210,0,0
91210,**,**
91210,**,**
91210,**,**
91210,50,449
91210,40,2843
,,
91214,"5,770","68,924"
91214,80,78
91214,320,759
91214,510,1710
91214,770,3342
91214,2550,21525
91214,1540,41510
,,
91301,"5,780","120,801"
91301,140,641
91301,270,792
91301,430,1444
91301,650,3339
91301,2140,19431
91301,2150,95154
,,
91302,"5,980","287,008"
91302,150,749
91302,210,796
91302,350,1473
91302,490,2782
91302,1710,17192
91302,3070,264016
,,
91303,"2,020","13,104"
91303,80,84
91303,330,461
91303,460,1322
91303,380,1765
91303,630,5316
